id,grp,cycle_time_days,created_date
527,0,1,2013-11-06
524,0,11,2013-10-13
525,0,-1,2014-03-30
520,0,1140,2013-10-13
521,0,12,2013-10-11
519,0,1,2013-11-10
517,0,3,2013-12-05
518,0,3,2013-10-11
515,0,-1,2013-10-22
516,0,10,2013-10-12
514,0,4,2013-10-14
511,0,9,2013-10-10
510,0,22,2013-10-18
502,0,11,2013-10-11
503,0,10,2013-10-11
501,0,1,2013-10-15
569,0,-1,2016-06-28
548,0,-1,2013-10-14
549,0,-1,2014-03-31
546,0,-1,2013-10-14
545,0,-1,2013-10-12
542,0,-1,2014-03-30
543,0,-1,2014-03-30
537,0,-1,2013-10-19
535,0,12,2013-10-26
536,0,14,2013-10-26
533,0,-1,2014-03-30
530,0,-1,2013-10-13
3099,0,5,2014-07-29
597,0,12,2013-10-28
598,0,1,2013-12-23
595,0,-1,2013-11-11
596,0,-1,2013-10-18
593,0,-1,2013-10-20
594,0,-1,2013-11-01
591,0,1,2013-10-22
592,0,4,2013-10-22
590,0,-1,2013-10-20
588,0,1,2013-10-18
582,0,2,2013-11-22
575,0,2,2013-11-21
574,0,-1,2013-10-15
571,0,-1,2013-10-16
4483,0,-1,2015-02-19
3143,0,1,2014-08-18
3144,0,-1,2014-07-31
4485,0,-1,2015-02-07
4455,0,-1,2014-12-21
4452,0,-1,2014-12-01
4456,0,-1,2015-02-05
3141,0,-1,2014-12-19
3142,0,5,2014-08-02
4470,0,1,2014-12-31
497,0,21,2013-11-15
4464,0,-1,2014-12-09
3138,0,-1,2014-08-01
493,0,-1,2013-12-13
3139,0,1,2014-12-02
3137,0,2,2014-08-03
4499,0,17,2014-11-25
4497,0,-1,2015-02-27
5720,0,8,2015-07-18
5724,0,2,2015-04-23
5723,0,8,2015-05-05
5722,0,2,2015-04-25
5728,0,12,2015-04-21
5725,0,1,2015-10-30
5701,0,3,2015-04-17
5704,0,1,2015-04-19
5712,0,2,2015-04-22
5715,0,-1,2015-04-18
5714,0,-1,2015-04-18
5718,0,-1,2015-07-21
3105,0,-1,2014-08-03
3106,0,-1,2014-08-01
5767,0,1,2015-05-05
5766,0,2,2015-05-21
4448,0,-1,2014-11-20
5778,0,4,2015-04-27
4447,0,-1,2015-02-26
5777,0,7,2015-04-26
4445,0,-1,2014-12-31
5740,0,2,2015-04-21
4415,0,7,2014-11-13
4414,0,3,2014-11-10
4413,0,3,2014-11-10
4412,0,-1,2014-11-10
5749,0,1,2015-05-28
5748,0,6,2015-04-24
4417,0,-1,2014-11-11
5747,0,10,2015-04-24
5753,0,7,2015-04-24
5752,0,-1,2015-04-22
5755,0,4,2015-04-25
5754,0,-1,2015-04-22
605,0,106,2014-06-22
606,0,-1,2014-01-21
603,0,9,2013-10-19
602,0,-1,2013-10-19
647,0,-1,2014-04-09
648,0,4,2013-10-25
645,0,-1,2013-11-07
644,0,-1,2013-12-21
634,0,-1,2015-01-20
632,0,26,2013-10-18
633,0,11,2013-10-24
630,0,-1,2013-12-24
